Dell_product,Bestbuy_sku,Newegg_sku,CCE_sku
Dell 22 Monitor - P2222H,15611205,0JC-0004-00SN9,
Dell 32 Curved Gaming Monitor – S3222DGM,15692895,,
Dell 27 Monitor - SE2722H,15726709,0JC-0004-00SV0,
Dell 24 USB-C Hub Monitor - P2422HE,15746317,0JC-0004-00U92,
Dell 27 4K UHD USB-C Monitor - S2722QC,15805115,,
Dell 27 Curved Gaming Monitor – S2722DGM,15891263,,
Dell 32 Curved FHD Monitor - S3222HN,16235556,,
Dell 22 Monitor - E2222H,16235558,,
Dell UltraSharp 27 4K PremierColor Monitor: UP2720Q,16245939,0JC-0004-00R31,
Dell 27 Curved Gaming Monitor – S2721HGF,16368658,,
Dell 22 Monitor - E2222HS,16370868,0JC-0004-00TG4,
Dell 27 4K USB-C Hub Monitor - P2723QE,16372813,0JC-0004-00U32,
Dell 27 Monitor - P2723D,16375747,N82E16824260824,
Dell 32 USB-C Hub Monitor – P3223DE,16435438,0JC-0004-00U45,
Dell UltraSharp 32 4K Video Conferencing Monitor - U3223QZ,16445300,0JC-0004-00UG3,
Dell 32 4K USB-C Hub Monitor - P3223QE,16445314,0JC-0004-00UK1,
Dell 24 Monitor - P2423D,16445494,0JC-0004-00U26,
Dell 22 Monitor – E2223HN,16561465,0JC-0004-00U30,
Dell 27 Monitor – E2723H,16568044,0JC-0004-00UN0,
Dell 27 Monitor - S2721HN,16616568,,
Dell 27 4K UHD Monitor - S2721QS,16617376,0JC-0004-00R36,
Dell UltraSharp 40 Curved WUHD Monitor - U4021QW,16929141,0JC-0004-00U58, MTDEL00194
Dell UltraSharp 43 4K USB-C Hub Monitor - U4323QE,17103744,N82E16824260926,
Alienware 25 Gaming Monitor - AW2523HF,17146591,3D4-000V-00058,
"Dell 14"" Portable Travel Monitor - P1424H",17151006,0JC-0004-00V56,
Dell 24 Monitor – S2421HN,17153933,,
Dell UltraSharp 32 6K Monitor - U3224KB,17154911,, MTDEL00199
Dell 24 Monitor - E2424HS,17154912,0JC-0004-00UY5,
Alienware 500Hz Gaming Monitor - AW2524H,17154913,,
Dell 27 Gaming Monitor - G2724D,17160814,,
Dell UltraSharp 49 Curved USB-C Hub Monitor - U4924DW,17165278,,
Dell UltraSharp 38 Curved USB-C Hub Monitor - U3824DW,17168839,,
Alienware 27 Gaming Monitor - AW2724HF,17203559,,
Dell 32 Curved 4K UHD Monitor - S3221QS,17233653,,
Dell UltraSharp 32 4K USB-C Hub Monitor - U3223QE,17290467,0JC-0004-00U10,
Dell 24 Monitor – E2423H,17460805,,
Dell 24 Touch USB-C Hub Monitor - P2424HT,17475955,0JC-0004-00V76,
Alienware 27 360Hz QD-OLED Gaming Monitor - AW2725DF,17683673,,
Dell UltraSharp 27 4K USB-C Hub Monitor - U2723QE,17702763,N82E16824260825,
Dell UltraSharp 27 Thunderbolt™ Hub Monitor - U2724DE,17718315,0JC-0004-00VA0,
Dell UltraSharp 24 Monitor - U2424H,17729946,0JC-0004-00V97,
Dell 34 Curved Monitor - P3424WE,17812330,0JC-0004-00V75,
Dell 34 Curved Video Conferencing Monitor - P3424WEB,17729956,,
Dell UltraSharp 27 Monitor - U2724D,17732335,0JC-0004-00V98,
Dell 27 Video Conferencing Monitor - P2724DEB,17739273,0JC-0004-00VB6,
Dell UltraSharp 24 USB-C® Hub Monitor - U2424HE,17741948,0JC-0004-00V99,
Dell 27 Monitor - S2725DS,17864930,,
Dell 24 Video Conferencing Monitor - P2424HEB,17906937,0JC-0004-00VC0,
Dell 24 Monitor - P2422H,17933714,N82E16824260787,
Dell 65 4K Interactive Touch Monitor - P6524QT,17974182,,
Alienware 27 Gaming Monitor - AW2724DM,17983236,3D4-000V-00076,
Dell 24 Monitor - P2425,17983310,,
Dell 27 Monitor - S2725HS,17983312,,
Dell 27 Monitor - P2725H,17983313,0JC-0004-00VJ2,
Dell 55 4K Interactive Touch Monitor - P5524QT,17983314,,
Dell 27 USB-C® Hub Monitor - P2725HE,17983315,0JC-0004-00VJ3,
Dell 22 Monitor - P2225H,17983317,, MTDEL00204
Dell UltraSharp 34 Curved Thunderbolt™  Hub Monitor - U3425WE,17983318,,
Dell 24 Monitor - S2425H,17983319,,
Dell 24 Monitor - S2425HS,17983320,,
Dell 24 Monitor - P2425H,17983322,,
Dell 24 USB-C® Hub Monitor - P2425HE,17983321,,
Dell 27 Monitor - S2725H,17983323,,
Dell 24 USB-C® Hub Monitor - P2425E,17983324,,
Dell 24 Monitor - SE2422H,17983865,,
Dell 34 Curved Monitor - S3422DW,,N82E16824260726,
Dell 22 Monitor - SE2222H,,0JC-0004-00TV1,
Dell 27 Monitor - E2724HS,,N82E16824260925,
Dell 25 Gaming Monitor - G2524H ,,,
Alienware 500Hz Gaming Monitor - AW2524HF,,,
Alienware 27 Gaming Monitor - AW2723DF,,,
Dell 27 USB-C Monitor - S2722DC,,1VK-0001-5Z176,
Dell 27 Inch USB-C Hub Computer Monitor - P2723DE,,0JC-0004-00U33,
Dell 34 Curved Gaming Monitor – S3422DWG,,0JC-0004-00SV1,
Dell 34 Curved USB-C Monitor – S3423DWC,,0JC-0004-00V84,
Dell 32 4K UHD Gaming Monitor - G3223Q,,,
Dell UltraSharp 32 4K HDR Monitor - UP3221Q,,1B4-0016-060K3,
Alienware 32 4K QD-OLED Gaming Monitor - AW3225QF,,,
Alienware 34 Curved QD-OLED Gaming Monitor - AW3423DWF,,,
Alienware 34 Curved QD-OLED Gaming Monitor - AW3423DW,,,
Dell UltraSharp 40 Curved Thunderbolt™ Hub Monitor - U4025QW,,,
Dell 24 Video Conferencing Monitor - C2423H,,0JC-0004-00U29,
Dell 24 USB-C Hub Monitor - P2423DE,,0JC-0004-00U28,
Dell 55 4K Conference Room Monitor - P5524Q,,,
Dell 75 4K Interactive Touch Monitor - P7524QT,,,
Dell 86 4K Interactive Touch Monitor - P8624QT,,,
